Observation,"""OUTDOOR""","""SOCIAL""","""CONSERVATIVE""","""Anxiety""","""JOB""","""JID""","""AGE"""
"""1""",10,22,5,49.5,1,1,37
"""2""",14,17,6,102.5,1,2,42
"""3""",19,33,7,73.5,1,3,28
"""4""",14,29,12,106.4,1,4,43
"""5""",14,25,7,116.6,1,5,32
"""6""",20,25,12,72.4,1,6,33
"""7""",6,18,4,86.3,1,7,36
"""8""",13,27,7,61.9,1,8,43
"""9""",18,31,9,94.4,1,9,55
"""10""",16,35,13,34.6,1,10,54
"""11""",17,25,8,85.7,1,11,31
"""12""",10,29,11,96.8,1,12,24
"""13""",17,25,7,88.5,1,13,31
"""14""",10,22,13,73.8,1,14,28
"""15""",10,31,13,84.9,1,15,47
"""16""",18,25,5,102.3,1,16,42
"""17""",0,27,11,95.7,1,17,34
"""18""",10,24,12,54.4,1,18,47
"""19""",15,23,10,59.4,1,19,37
"""20""",8,29,14,84.8,1,20,44
"""21""",6,27,11,66.5,1,21,34
"""22""",10,17,8,52.8,1,22,38
"""23""",1,30,6,27.8,1,23,39
"""24""",14,29,7,69.2,1,24,29
"""25""",13,21,11,116.7,1,25,28
"""26""",21,31,11,7.4,1,26,51
"""27""",12,26,9,74.8,1,27,51
"""28""",12,22,9,100.4,1,28,43
"""29""",5,25,7,64.7,1,29,37
"""30""",10,24,5,43.8,1,30,53
"""31""",3,20,14,75.1,1,31,49
"""32""",6,25,12,55.4,1,32,25
"""33""",11,27,10,70.3,1,33,24
"""34""",13,21,14,83.1,1,34,41
"""35""",11,23,5,121.7,1,35,37
"""36""",8,18,8,110.7,1,36,31
"""37""",5,17,9,82,1,37,41
"""38""",11,22,11,125.9,1,38,36
"""39""",14,22,11,64.8,1,39,27
"""40""",22,22,6,68.9,1,40,29
"""41""",16,28,6,46.7,1,41,50
"""42""",12,25,8,100.6,1,42,40
"""43""",12,25,7,39.8,1,43,30
"""44""",15,21,4,47.2,1,44,31
"""45""",11,28,8,103.1,1,45,43
"""46""",11,20,9,81.8,1,46,47
"""47""",15,19,9,38.5,1,47,61
"""48""",15,24,7,121.4,1,48,30
"""49""",15,21,10,77.6,1,49,37
"""50""",17,26,7,95.9,1,50,49
"""51""",12,28,13,105.3,1,51,52
"""52""",7,28,12,66.1,1,52,40
"""53""",14,12,6,96.4,1,53,40
"""54""",22,24,6,137.9,1,54,46
"""55""",22,27,12,72.3,1,55,40
"""56""",18,30,9,98.8,1,56,37
"""57""",16,18,5,92.8,1,57,37
"""58""",12,23,4,80,1,58,47
"""59""",16,22,2,63.3,1,59,40
"""60""",15,26,9,108.7,1,60,38
"""61""",7,13,7,66.4,1,61,51
"""62""",6,18,6,80.5,1,62,55
"""63""",9,24,6,82,1,63,42
"""64""",9,20,12,80.5,1,64,45
"""65""",20,28,8,107.9,1,65,41
"""66""",5,22,15,69.9,1,66,46
"""67""",14,26,17,80.7,1,67,44
"""68""",8,28,12,104.6,1,68,40
"""69""",14,22,9,46.2,1,69,30
"""70""",15,26,4,53.7,1,70,48
"""71""",15,25,10,61.4,1,71,49
"""72""",14,27,6,84.9,1,72,27
"""73""",15,25,11,102.2,1,73,43
"""74""",11,26,9,101.5,1,74,42
"""75""",10,28,5,45.1,1,75,18
"""76""",7,22,10,55.3,1,76,30
"""77""",11,15,12,78.5,1,77,30
"""78""",14,25,15,81.2,1,78,42
"""79""",18,28,7,123.2,1,79,35
"""80""",14,29,8,46.5,1,80,46
"""81""",17,20,6,74.2,1,81,32
"""82""",13,25,14,89.2,1,82,48
"""83""",9,21,12,121.6,1,83,25
"""84""",13,26,13,89,1,84,42
"""85""",16,24,10,128.1,1,85,32
"""86""",20,27,6,49.7,2,1,34
"""87""",21,15,10,74.8,2,2,44
"""88""",15,27,12,35.6,2,3,30
"""89""",15,29,8,50.6,2,4,13
"""90""",11,25,11,42.1,2,5,18
"""91""",24,9,17,68.8,2,6,26
"""92""",18,21,13,36.4,2,7,16
"""93""",14,18,4,85.7,2,8,41
"""94""",13,22,12,33.2,2,9,36
"""95""",17,21,9,3.3,2,10,48
"""96""",16,28,13,86.3,2,11,13
"""97""",15,22,12,69.7,2,12,43
"""98""",24,20,15,18.8,2,13,15
